"pattern","occurences_count","files_count","repos_count"
"yyyy-MM-dd HH시 mm분 ss초","10","9","10"
"MM/dd/yyyy - HH:mm:ss Z","10","9","10"
"yyyy년 MM월 dd일 HH시 mm분 ss초","9","9","7"
"yyyyMMdd-HHmmssSSS","9","9","5"
"MMM yy","9","9","7"
"yyyy-MM-dd HH:mm:ss SSS","9","9","8"
"d MMM y","9","9","3"
"HH:mm:ss,SSS","9","9","4"
"yyyy-MM-dd HHmmss","9","9","4"
"yyyy-MM-dd'T'HH:mm:ss.SSSXX","9","9","6"
"yy-MM-dd","9","9","6"
"yyMMdd_HHmmss","9","9","4"
"EEEE, d MMMM yyyy","9","9","4"
"HH:mm:ss.nnnnnnnnn","9","9","5"
"HH:mm:ss.SSSS","9","9","8"
"yyyy-'W'ww","9","9","5"
"y M d","332","8","113"
"yyyy-MM-dd HH:mm ","174","8","9"
"VV","114","8","110"
"H m s XXX","112","8","112"
"yyyy-mm-dd","107","8","106"
"yyyy-MM-dd 00:00:00","33","8","6"
"yyyyMMdd-Hmss","14","8","1"
"EEE'\n'dd MMM'\n'HH:mm","13","8","13"
"w","12","8","12"
"ccc","12","8","11"
"dd_MM_yyyy","12","8","4"
"yyyy.MM","11","8","7"
"yyyy.MM.dd.","11","8","5"
"uuuu-MM-dd'T'HH:mm:ss.SSSX","11","8","9"
"y-M-d","10","8","5"
"EEE, MMM dd, yyyy","10","8","10"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSZ","10","8","5"
"HH:mm dd/MM/yyyy","9","8","8"
"yyyy.MM.dd HH:mm","9","8","7"
"MMM dd, yyyy - HH:mm","9","8","9"
"yyyy-MM-dd HH:mm:ss.SSSS","9","8","5"
"dd/MM/yyy","9","8","4"
"dd-MMM-yy","9","8","5"
"YY","9","8","4"
"d MMMM, HH:mm","9","8","8"
"HH:mm, dd/MM/yy","9","8","5"
"X","9","8","8"
"E dd/MM/yyyy","8","8","1"
", dd-MMM-yy HH:mm:ss","8","8","1"
" MMM dd HH:mm:ss yyyy","8","8","1"
"yyyy-MM-dd hh:mm","8","8","8"
"yyyyMMdd HHmmss","8","8","7"
"yyyy-MM-dd HH:mm:ss[.SSSSSS]","8","8","5"
"yyyy-MM-dd[ HH:mm:ss]","8","8","5"
"yyyy年MM月dd日  HH:mm:ss","8","8","1"
"HH:mm:ss.SSS XXX","8","8","7"
"hh","8","8","6"
"HH-mm-ss","8","8","7"
"MM월 dd일","8","8","8"
"dd MMM yyyy HH:mm:ss","8","8","7"
"yyyy-MM-dd HH:mm:ss +0000","8","8","2"
"MMM dd, yyyy HH:mm:ss","8","8","1"
"HH:mm:ss.SSS 'UTC'","8","8","7"
"yyyy-MM-dd HHmm","8","8","3"
"yyyy MM dd HH:mm:ss","8","8","5"
"yyyy-MM-dd-HH:mm","8","8","7"
"yyyy-MM-dd HH:mm:dd","8","8","2"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSS","8","8","7"
"kk:mm:ss","8","8","7"
"yyyy-MM-dd-HH:mm:ss","8","8","7"
"dd MM yyyy HH:mm","8","8","5"
"dd MMM uuuu","8","8","7"
"M d","337","7","113"
"O","154","7","110"
"HH:MM:ss","105","7","102"
"- h:mm a","23","7","22"
"YYYYMMdd_HHmmss","14","7","10"
"yyyy-MM-dd-HHmmss","13","7","12"
"MMM d, h:mm a","12","7","10"
"d::MMM::uuuu HH::mm::ss","12","7","6"
"yyyy년 MM월 dd일 HH시 mm분","11","7","5"
"uuuu-MM-dd HH:mm:ss[.SSS] VV","10","7","4"
"dd/MMM/yyyy","10","7","7"
"yyyy년 MM월 dd일 00","10","7","4"
"yyyy-MM-dd'T'HH:mm:ss.nnnnnnnnn'Z'","10","7","9"
"'SELECT TIMESTAMP '''uuuu-MM-dd HH:mm:ss.SSS''","10","7","4"
"mmss","9","7","2"
"dd.MM.yyyy HH:mm:ss Z","9","7","6"
"MMM dd, yyyy HH:mm","9","7","4"
"MMM d HH:mm","8","7","3"
"EEEE d MMMM","8","7","5"
"dd MMM HH:mm","8","7","6"
"MMM d yyyy","8","7","8"
"EEE, dd MMM","8","7","2"
"'TIMESTAMP '''yyyy-MM-dd HH:mm:ss.SSS VV''","8","7","3"
"MM-dd HH:mm:ss","8","7","7"
"MM/dd/yyyy h:mm a","8","7","7"
"dd MMMM yyyy HH:mm","8","7","4"
"M/d/yyyy h:mm:ss a","8","7","6"
"MM.dd.yyyy","8","7","6"
"EEE d MMM","8","7","6"
"ss.SSS","8","7","5"
"MMMM YYYY","7","7","4"
"EE, dd MMM, yyyy","7","7","2"
"d-MMM-yyyy","7","7","6"
"HH:mm:ss dd/MM/yyyy","7","7","5"
"H:m:s","7","7","7"
"yyyy-MM-dd_HHmmss","7","7","7"
"yyyMMdd","7","7","3"
"yyy-MM-dd HH:mm:ss","7","7","3"
"yyyy-MM-dd_HH-mm","7","7","6"
"d.M.","7","7","5"
"LLL dd,yyyy","7","7","2"
"uuuu-MM-dd'T'HH:mm:ss.SSS","7","7","7"
"yyyy/MM/dd HH:mm:ss z","7","7","3"
"yyyy-MM-dd'T'HH:mm:ssXX","7","7","3"
"dd/M/yyyy","7","7","5"
"dd-MM-HHmm","7","7","4"
"LLL dd-yyyy","7","7","5"
"yyyy-MM-dd_HH-mm-ss-SSS","7","7","5"
"HH:mm:ss.S","7","7","7"
"y M","330","6","112"
"ZZZZ","153","6","109"
"'ONE'd","112","6","112"
"ZZ","110","6","110"
"GGGG y-M-d","77","6","77"
"yyyyMMddHHmmss[.SSS]","39","6","37"
"'TIMESTAMP '''uuuu-MM-dd HH:mm:ss.SSSSSS VV''","18","6","3"
"h","16","6","16"
".","14","6","3"
"yyyyMMddHHmmss Z","13","6","12"
"d/M/y","12","6","5"
"d/M/yy","11","6","6"
"m:ss","11","6","7"
"EE d","10","6","2"
"yyyyMMdd'T'HHmmssZ","10","6","8"
"dd-MM-yyyy hh:mm:ss a","9","6","9"
"u M d H m s","9","6","3"
"EEE dd MMM","8","6","4"
" ","8","6","3"
"yyyy년 MM월 dd일 HH시 mm분 ss초 SSS","8","6","2"
"yy-MM-dd HH:mm","8","6","2"
"EEE, MMM dd, yyyy, HH:mm:ss","8","6","8"
"EEEE, dd MMM yyyy, HH:mm","8","6","1"
"yyyy/MM/dd hh:mm:ss","7","6","4"
"yyyy-MM-dd-HH","7","6","4"
"MM.yyyy","7","6","4"
"yyyy.MM.dd HH:mm:ss.SSS","7","6","7"
"MM-dd-yyyy_HH-mm-ss","7","6","5"
"EEEE, dd-MMM-yy HH:mm:ss zzz","7","6","5"
"dd-MM-uuuu","7","6","5"
"dd-MM-yyyy hh:mm","7","6","6"
"yyyy-MM-dd'T'HH:mm:ss[XXX][X]","7","6","5"
"yyyyMMdd_HHmm","7","6","7"
"EEE MMM dd HH:mm:ss Z yyyy","6","6","4"
"yyyy/MM/dd hh:mm","6","6","3"
"MM月dd日","6","6","5"
"M月d日(E)","6","6","3"
"yyyyMMdd-HH:mm:ss.SSSSSSSSSX","6","6","1"
"HH:mm dd-MM-yyyy","6","6","6"
":ss","6","6","4"
"dd.MM.yyy","6","6","6"
"uuuu-M-d","6","6","3"
"HH:mm:ssXXX","6","6","5"
"--MM-dd","6","6","3"
"d LLLL yyyy","6","6","5"
"EEEE, d MMMM","6","6","5"
"'TIMESTAMP WITH TIME ZONE '''yyyy-MM-dd HH:mm:ss.SSS VV''","6","6","3"
"uuuu.MM.dd.HH.mm.ss","6","6","3"
"M/d/yyyy H:mm","6","6","3"
"EEE, d MMM","6","6","4"
"eeee","6","6","5"
"MMMM dd, YYYY","6","6","5"
"dd, MMMM yyyy","6","6","1"
"MMMM uuuu","6","6","2"
"YYYY-MM-dd'T'HH:mm:ss'Z'","6","6","3"
"dd MMMM yyyy EEEE","6","6","2"
"dd-MM HH:mm","6","6","4"
"'SELECT TIMESTAMP '''uuuu-MM-dd HH:mm:ss''","6","6","6"
"EEE, dd-MMM-yyyy HH:mm:ss zzz","6","6","2"
"MMM dd, YYYY","6","6","5"
"yyyy-MM-ddHH-mm-ss-SSS","6","6","1"
"EE, MMM d","6","6","4"
"yyyy-MM-dd'T'HH-mm-ss_SSS","6","6","2"
"yyyy-MM-dd_HHmm","6","6","2"
"yyy/MM/dd","6","6","3"
"EEE MMM d HH:mm:ss yyyy","6","6","4"
"EEE, dd MMM yyyy HH:mm:ss O","6","6","6"
"yyyy-MM-dd'T'HH:mm:ssz","6","6","6"
"p","112","5","112"
"xxxxxx","109","5","109"
"ZZZZZ","109","5","109"
"ZZZZZZ","109","5","109"
"ZZZ","109","5","109"
"XXXXXX","109","5","109"
"OOO","109","5","109"
"OOOOO","109","5","109"
"OO","109","5","109"
"y M d H m s XXX","109","5","109"
"DDD","79","5","79"
"dd-MMM-uu","30","5","15"
"dd-MM-yyyy hh:mm:ss","27","5","3"
"G","19","5","18"
".SSS","17","5","9"
"yyy-MM-dd'T'HH:mm:ss.SSSSSS","14","5","10"
"yyyy-MM-dd H:mm","11","5","8"
"yyyy/MM/dd/HH/mm/ss","11","5","10"
"HHmmss.SSS","11","5","8"
"yyyy-MM-dd'T'HH_mm_ssX","10","5","1"
" VV","10","5","5"
"HH:mm:ss.SSS VV","10","5","10"
"GGGGy","9","5","9"
"dd.MM.yyyy HH:mm z","9","5","4"
"EE dd.MM.uuuu HH:mm","9","5","1"
"yyyy-MM-dd-HH.mm.ss","8","5","2"
"yyyy-MM-dd HH:mm:ssX","8","5","5"
"HH:mm:ss dd/MM/yy","8","5","3"
"yyyy-MM-dd--HH-mm-ss","7","5","5"
"M","6","5","4"
"yyyy-MM-dd'T'HH:mm:ss.SSSVV","6","5","3"
"uu","6","5","3"
"yyyy年M月d日 HH:mm:ss","6","5","6"
"hh a","6","5","5"
"yyyyMMdd-kkmmss","6","5","6"
"yyyyMMddHHmmSS","6","5","5"
"yyyy年MM月dd日HH时mm分ss秒","6","5","4"
"yyyy-MM-dd'T'HH-mm-ss.SSS","6","5","2"
"MMMM dd yyyy","6","5","5"
